,Notes
Geocoding,"Data.com geocoding works only for Acct, Contact and Leads standard address fields.
It does not work on Person acct.Use Google geocoding for custom objects"
Security,"When Owner changes on a record then all manual shared are removed. Use a 
custom sharing reason to prevent this. However 'custom sharing reason' works only
for custom objects"
Email,"No limits sent via UI/APEX to individual Contact, Lead, Account and User. 5000 email limit for ext addresses"
Flows,"Recommend Flow based schedule path over TBW as it goves more precise control : in mins, more 
integrated with overall flow, advanced capabilities like send email every day"
Multi-orgs,"Multi -org (additional justification) - Markets growing differently, AUS goes first"
Security,Records created by Cust commie user cannot be shared internally with sharing - only option is Share group
Oppty,"Chk discount and other fields on Order 
- Custom discount field needs to be created on OrderLI, WF to update the Sales price amt which would get reflected on the total Order amt automatically.
- Oppty LI has a std discount field which updates the Sales price of OLI automatically
-Oppty does not have a discount field. Hence, we cannot give blanket discount unless done via customization
quote and Quote Line items have discount fields"
SSO/OAUTH,ADFS cannot do de-provisioning and cannot connect to multiple ADs
Security,Data classification can be used for data mgmr reporting/access/compliance needs. Reports can be run on the field metadata
Survey,"Send surveys via auto response rules on Case creation
Send surveys via auto support setting config on Case closure
SurveySubject - Junction object links a survey with a specific record"
Web to Lead,Lead file attachment - The file attached to Lead is copied to Acct/Contact/Oppty. Note W2L does not support attachments
Shield,Shield event monitorting can track chnages to attchments (downloads) as well
Email,"SF Inbox is a tool to integrate SF with Outlook and Gmail. It provides the SF record context within these apps, attaches emails send by them as activities under
relevant contacts etc. Availabke via HVS"
SSO/OAUTH,OKTA sync user atributes between SF and LDAP
Security,"M-D sharing only upto 3 levels, Lookup depth upto 5"
Security,"Sharing sets are transitive upto 2 levels only. E.g. Obj1.Con = User.Con , Obj1.Obj2.Con = User.Con"
Public WS,CMS connect can be proposed to enahnce the public WS to have the same branding as the SF org
Mobile,For mobile publisher why is there a delay? - Bcos SF has to submit the app to Apple/Google
Email,Setting on a queue itself sends email alert
Lead,For Lead conversion mention Lead conversion mapping will be defined to map fields to Acct/Contact
Gov,Tailor the Gov slide by including specific roles under TECH/FUNC stack .
Security,Ext acct heirarchy has a side effect of original owner losing the sharing on the child objects
Experience sites,Contract is available for customer community user
Data,"Assets, Consent mgmt.  are not counted for storage"
Licenses,"Communities
All licenses - Assets, Contract, Order, PB (RO), Product (RO), Ext objects, Task (Read only), Sharing set, Knowledge, Canvas (access via profiles in connected app)
Cust Comm , Plus and Partner - Case, Entitlements, WO, WOLI, Events(RO), SA, Task, Approvals (submit as well as approver)
Plus and Partner - Reps, Dashboards, Roles, Queues, CaseTeam, Events (RW), TCrM, public groups
Partner - Campaign, Lead, Oppty, Quote, AcctTeam, OpptyTeam"
Experience sites,"Most common scenario 
If case is needed go for CC, if Reps/Dashboard/Roles go for CC+, if sales object go for Partner"
Automation,Process builder can trigger a flow
Multi-C,"Dated exchange rates are not used in Forecasting. They support Oppty, Oppty prods, schedules but not other objects. Through apex we can access the table for dated exchange rates and use that for custom objects"
